name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Cucumber Salad,2 servings,"['1 cucumber (large, peeled and thinly sliced)', '2 tablespoons yogurt, low-fat', '1 tablespoon vinegar', '1 tablespoon vegetable oil', '1 tablespoon water', '1 teaspoon dill weed', '1 dash pepper']","['Wash hands with soap and water.', 'Peel and thinly slice cucumber.', 'Mix all other ingredients in the mixing bowl.', 'Add cucumber slices and stir until coated.', 'Chill until serving.']",Salads,85,1 mg,7 g,4 g,1 g,3 g,2 g,52 mg,1 mg,8 mcg RAE,4 mg,0 mcg,17 mcg DFE
Cucumber Salad with Tomatoes,4 servings,"['2 cups cucumber (diced)', '1 cup tomato (seeded and diced)', '1/4 cup onion (chopped sweet)', '2 cups couscous or rice, cooked', '2 teaspoons dill weed (chopped dried or fresh)', '1/2 cup Italian salad dressing, low-fat']","['Wash hands with soap and water.', 'Toss together the cucumbers, tomatoes, onions, couscous (or rice), dill, and salad dressing.', 'Chill for 1 hour.', 'Serve.']",Salads,331,1 mg,1 g,68 g,5 g,5 g,11 g,55 mg,2 mg,24 mcg RAE,10 mg,0 mcg,63 mcg DFE
Curried Chicken Salad,4 Servings,"['4 cooked cooled chicken thighs (about 3 cups shredded)', '2 tablespoons vegetable oil', '1/8 cup low-fat yogurt', '1 tablespoon curry powder (or more to taste)', '2 celery stalks (diced or sliced)', '1 apple (cored and diced)', '1/4 cup mandarin oranges, canned, drained', '1/4 cup chopped fresh cilantro (and/or basil leaves)']","['Put chicken in a bowl and add remaining ingredients. Mix to combine.', 'Cover and refrigerate at least one hour and up three days.']",Salads,301,96 mg,18 g,7 g,2 g,5 g,27 g,48 mg,2 mg,35 mcg RAE,3 mg,0 mcg,18 mcg DFE
Curried Chickpea Salad,6 Servings,"['2 cans chickpeas, rinsed and drained', '1/2 cup celery, diced', '1/2 cup apple, diced', '1/4 cup red onion, diced', '1/4 cup cranberries, dried', '1/4 cup mayonnaise, low-fat or vegan mayonnaise', '1 teaspoon dijon mustard', '2 teaspoons curry powder', '1/4 teaspoon thyme, dried', '1/8 teaspoon black pepper, ground', 'salt (1/2 teaspoon, optional)']","['Wash hands with soap and water.', 'Add the chickpeas to a large bowl and mash with a potato masher. You can mash them to be as smooth or coarse as you desire.', 'Add all of the remaining ingredients to the bowl and mix until everything is combined.']",Salads,181,,6 g,26 g,7 g,8 g,7 g,59 mg,2 mg,4 mcg RAE,1 mg,,
Curtido Salvadoreno (Cabbage Salad),8 servings,"['1 head of cabbage (chopped)', '2 carrots (small, grated)', '1 onion (small)', 'dried red pepper (optional, 1/2 teaspoon)', '1/2 teaspoon oregano', '1 teaspoon olive oil', '1 teaspoon salt', '1 teaspoon brown sugar', '1/4 cup vinegar', '1/2 cup water']","['Wash hands with soap and water.', 'Blanch the cabbage with boiling water for 1 minute. Discard the water.', 'Place the cabbage in a large bowl and add grated carrots, sliced onion, red pepper, oregano, olive oil, salt, brown sugar, vinegar, and water.', 'Place in the refrigerator for at least 2 hours before serving.']",Salads,49,0 mg,1 g,10 g,4 g,6 g,2 g,56 mg,1 mg,133 mcg RAE,43 mg,0 mcg,54 mcg DFE
Easy Fruit Salad,14 servings,"['1 can fruit cocktail (16 ounce, drained)', '2 banana (sliced)', '2 orange (cut into bite-size pieces)', '2 apple (cut into bite-size pieces)', '1 yogurt, low-fat piña colada (8 ounces)']","['Mix fruit in a large bowl.', 'Add yogurt and mix well.', 'Chill in refrigerator before serving.']",Salads,64,1 mg,0 g,15 g,2 g,12 g,1 g,34 mg,0 mg,9 mcg RAE,13 mg,0 mcg,12 mcg DFE
Easy Greek Salad,6 servings,"['6 romaine lettuces leaves (torn into 1 1/2 inch pieces)', '1 cucumber (medium, peeled and sliced)', '1 tomato (medium, chopped)', '1/2 cup red onion (sliced)', '1/3 cup feta cheese (crumbled)', '2 tablespoons olive oil (extra-virgin)', '2 tablespoons lemon juice', '1 teaspoon oregano (dried)', '1/2 teaspoon salt']","['Combine lettuce, cucumber, tomato, onion, and cheese in large serving bowl. Whisk together oil, lemon juice, oregano, and salt in small bowl.', 'Pour over lettuce mixture; toss until coated. Serve immediately.']",Salads,79,7 mg,6 g,4 g,1 g,2 g,2 g,62 mg,0 mg,57 mcg RAE,8 mg,0 mcg,31 mcg DFE
Egg Salad,4 servings,"['4 hard boiled eggs (finely chopped)', '2 packet of pickle relish (2/3 tablespoon)', '1/2 teaspoon salt', '1 teaspoon mustard (wet)', '1/4 cup mayonnaise']","['Put the eggs in a pan of cold water. Simmer for 20 minutes.', 'Cool promptly in cold water, then in refrigerator, so the eggs will be easy to shell.', 'Remove the shells from eggs, and chop the eggs finely.', 'Mix all the ingredients together.']",Salads,161,169 mg,15 g,1 g,0 g,1 g,6 g,27 mg,1 mg,74 mcg RAE,0 mg,1 mcg,21 mcg DFE
European Salad,4 Servings,"['12 ounces chicken breast (pre-sliced)', '1/4 teaspoon salt', '1/4 teaspoon ground black pepper', '2 teaspoons olive oil', '3 green onions (sliced)', '1 large yellow bell pepper, cut in strips (about 1 1/2 cups)', '16 cherry tomatoes', '1 10-oz package European blend salad greens', '1 1/2 cups whole grain croutons (about 24 croutons)', 'fresh ground pepper, to taste']","['Place all vinaigrette ingredients in a blender, blend until smooth; set aside. (Note: Vinaigrette can be made ahead and refrigerated.)', 'Season chicken with salt and pepper.', 'Heat olive oil in a large skillet.', 'Sauté chicken until cooked thoroughly; remove from pan, and let cool.', 'Slice onions.', 'Toss cut vegetables with European blend salad greens.', 'On individual serving plates, top salad with chicken and croutons, drizzle with dressing, and finish with fresh ground pepper, if desired.']",Salads,240,45 mg,9 g,21 g,4 g,9 g,20 g,80 mg,3 mg,245 mcg RAE,150 mg,0 mcg,122 mcg DFE
Fiesta Rice Salad,4 servings,"['1 cup brown rice (cooked)', '1 carrot (shredded)', '1 cup broccoli (chopped fine)', '1 red onion (small, chopped)', '1 cup tomato (chopped)', '1 bell pepper (sweet, green, red, yellow)', '1 can kidney beans (15oz, drained, rinsed)', '2 tablespoons cilantro (or other fresh herbs) (chopped fine)', '2 tablespoons red wine vinegar (or white or cider)', '1 tablespoon vegetable oil', 'salt and pepper (to taste, optional)']","['Wash and chop vegetables and mix with cooked rice.', 'In a small bowl, add vinegar, oil, dill, salt and pepper. (Or use your favorite dressing.) Pour over rice mixture.', 'Add beans and toss well. Serve cold and enjoy!']",Salads,210,0 mg,4 g,35 g,9 g,4 g,9 g,53 mg,3 mg,160 mcg RAE,53 mg,0 mcg,124 mcg DFE
Fruit & Feta Salad,4 Servings,[],"['Whisk together vinaigrette ingredients.', 'Toss with remaining ingredients and serve.']",Salads,221,17 mg,15 g,18 g,2 g,14 g,6 g,155 mg,2 mg,391 mcg RAE,49 mg,0 mcg,117 mcg DFE
Fruit Cole Slaw,6 servings,"['1/2 cabbage (head, shredded (2 quarts))', '1 can fruit cocktail (16 ounce, juice packed, drained)', '1 cup yogurt, non-fat plain', 'lemon (juice of 1)', '1/2 cup honey', '1/4 cup vinegar', '1 banana (sliced)', '1/2 teaspoon salt', '1/8 teaspoon pepper']","['Shred cabbage.', 'Combine all ingredients in a large bowl.']",Salads,180,1 mg,0 g,44 g,3 g,39 g,4 g,121 mg,1 mg,16 mcg RAE,32 mg,0 mcg,44 mcg DFE
Fruit Salad with Jicama,7 servings,"['3 cups jicama, sliced (small)', '2 cups watermelon (cut into pieces)', '1 mango', '1 papaya (small)', '1 lime, cut into small pieces', '2 kiwifruit', '1 teaspoon lime or orange juice', '1/4 teaspoon salt', '1/4 teaspoon chili powder']","['Wash, peel, and cut the jicama into thin slices.', 'Wash, peel, and cut the rest of the fruit (including the lime) into slices or small pieces.', 'On a large plate, arrange the fruit. Sprinkle the lime or orange juice over the fruit.', 'In a small bowl, mix the salt and chili powder. Sprinkle over the fruit and serve.', 'Refrigerate leftovers within 2 hours.']",Salads,86,0 mg,0 g,21 g,5 g,13 g,1 g,31 mg,1 mg,52 mcg RAE,74 mg,0 mcg,43 mcg DFE
Garden Cannellini Bean Salad,4 Servings,"['1 tablespoon olive oil', '2 teaspoons white wine vinegar', '1/2 cup apple juice', '1 tablespoon tomato basil garlic seasoning blend, no-salt']","['Whisk together dressing ingredients in a small bowl.', 'In a small sauté pan, toast almond slivers until golden.', 'Remove from pan and let cool.', 'In a medium bowl, toss dressing with all ingredients except lettuce.', 'Refrigerate until ready to serve.', 'To serve, place lettuce leaves on individual plates; top with salad.']",Salads,250,0 mg,9 g,33 g,9 g,8 g,11 g,100 mg,4 mg,106 mcg RAE,54 mg,0 mcg,243 mcg DFE
Garden Orchard Salad,4 servings,"['1 1/2 cups broccoli florets (coarsely chopped)', '1/2 cup carrots (grated)', '1/2 cup cauliflower (coarsely chopped)', '1/2 cup apple (chopped, cored and diced, not peeled)', '1/4 cup green onion (sliced)', '1/2 cup yogurt, non-fat vanilla', '1/4 cup peanuts, unsalted, dry-roasted (chopped)']","['Wash your hands and work area.', 'Mix all ingredients together in a serving bowl.', 'Cover and refrigerate for 2 hours or longer to allow flavors to blend. Serve cold.', 'Cover and refrigerate leftovers within 2 hours.']",Salads,106,1 mg,5 g,13 g,3 g,8 g,5 g,77 mg,1 mg,146 mcg RAE,33 mg,0 mcg,47 mcg DFE
Garden Waldorf Salad,4 servings,"['3 cups broccoli florets', '1 cup carrot (grated)', '1 1/2 cups cauliflower (sliced)', '1 cup apple (chopped)', '1/2 cup green onion (chopped)', '1 cup yogurt, non-fat vanilla', '1/4 cup peanuts']","['Toss all ingredients together in a large mixing bowl.', 'Refrigerate until ready to serve, up to 6 hours.', 'Serve chilled.']",Salads,165,3 mg,6 g,23 g,5 g,15 g,8 g,165 mg,1 mg,298 mcg RAE,72 mg,0 mcg,87 mcg DFE
Gingery Quinoa with Green Beans,4 Servings,"['1 cup quinoa', '1 1/2 cups water or broth', '2 cups green beans', '2 1/2 tablespoons lemon juice, freshly squeezed', '1 tablespoon olive oil or cooking oil', '1 tablespoon sesame oil', '2 tablespoons soy sauce, reduced sodium', '1/4 teaspoon ginger, ground']","['Toast to quinoa in a dry skillet over medium heat, stirring constantly for about 3 minutes.', 'Put quinoa in a medium pot and add water or broth.', 'Bring to a boil, then let simmer until all of the water is absorbed and quinoa is tender (10 to 20 minutes).', 'Set aside and leave uncovered to cool.', 'While quinoa is cooling, microwave the green beans until just tender.', 'Rinse in cold water to stop the cooking process.', 'In a large bowl, combine the quinoa, olive oil or cooking oil, sesame oil, green beans, lemon juice, soy sauce, and fresh or ground ginger. Stir well.', 'Season with salt and pepper.', 'Serve at room temperature.']",Salads,239,0 mg,9 g,33 g,6 g,2 g,7 g,56 mg,3 mg,19 mcg RAE,6 mg,0 mcg,75 mcg DFE
Grape and Cashew Salad Sandwich,4 Servings,"['3/4 cup dry roasted cashews (unsalted, coarsely chopped)', '1 cup low-fat cottage cheese', '1 1/2 cups red grapes (quartered)', '1 celery stalk (chopped)', 'ground black pepper to taste', '2 tablespoons fresh parsley (chopped)', '8 lettuce leaves', '8 slices whole-grain bread']","['In a medium bowl, mix cottage cheese, grapes, celery, cashews, parsley, and ground black pepper.', 'Toast bread and build sandwiches following steps 3 and 4.', 'Spread 1/4 salad mix on 4 of the bread slices.', 'Add two lettuce leaves to each sandwich; top with 2nd bread slice.']",Salads,380,5 mg,16 g,45 g,6 g,16 g,19 g,150 mg,4 mg,89 mcg RAE,9 mg,0 mcg,80 mcg DFE
Grapefruit Spinach Salad,6 Servings,"['4 1/2 cups fresh spinach, washed and drained', '1 can sliced mushrooms, drained (2 ounce cans)', '1 cup water chestnuts, diced (5 oz can)', '2 grapefruits, sectioned and diced', '1/4 cup vegetable oil', '1 tablespoon vinegar', '2 us fluid ounces grapefruit juice', '1 tablespoon soy sauce, low-sodium', '1/4 teaspoon hot pepper sauce', '1/4 teaspoon salt', '1 teaspoon dry mustard']","['Tear spinach coarsely and place in large salad bowl.', 'Add mushrooms, water chestnuts, and grapefruit.', 'Mix together oil, vinegar, grapefruit juice, soy sauce, hot pepper sauce, salt, and dry mustard.', 'Toss dressing with spinach mixture and serve.']",Salads,132,0 mg,9 g,11 g,2 g,7 g,2 g,38 mg,1 mg,145 mcg RAE,38 mg,0 mcg,57 mcg DFE
Greek Salad with Chicken,4 Servings,[],"['To make the dressing, add Greek yogurt, lemon juice, olive oil, garlic, oregano, salt, and pepper to a small bowl. Mix well to combine.', 'Cover dressing and refrigerate for at least 1 hour.', 'Wash lettuce and tear into bite-sized pieces. Place in large salad bowl and add tomatoes, cucumbers, red onion, olives, and chicken.', 'Sprinkle with feta cheese.', 'Top with yogurt dressing and enjoy.']",Salads,173,42 mg,7 g,12 g,6 g,5 g,18 g,208 mg,2 mg,462 mcg RAE,24 mg,0 mcg,220 mcg DFE
Green Beans and New Potatoes,6 servings,"['3 1/2 cups frozen green beans (16 oz bag)', '8 potatoes (small, washed, peeled, and halved)', '1 spring onion (scallion) (medium, chopped)', '1/4 teaspoon salt']","['Add all ingredients to a large stock pot and cover with water.', 'Bring to a boil and reduce to medium heat.', 'Cook until green beans and potatoes are tender.']",Salads,204,0 mg,0 g,46 g,8 g,4 g,6 g,65 mg,2 mg,22 mcg RAE,49 mg,0 mcg,58 mcg DFE
Grilled Asparagus and Shrimp Quinoa Salad with Lemon Vinaigrette,4 Servings,"['2 cups fresh asparagus, large spears (cut into 1"" pieces)', '1/2 yellow or red bell pepper (cut into 1/2"" pieces)', '1 clove garlic (minced)', '1 14 ounce can quartered artichoke hearts (drained)', '12 ounces fresh or frozen large raw shrimp (peeled and deveined)', '1 1/2 cups dry quinoa (cooked according to package directions)']","['Place vinaigrette ingredients in a small bowl and whisk; set aside.', 'Cut vegetables as directed.', 'Heat grill and grilling tray.', 'Place vegetables and shrimp in a large bowl; add about 1/3 of the vinaigrette (about 3 tablespoons) and toss.', 'Spread shrimp-vegetable mixture over hot grilling tray.', 'Grill, turning shrimp and vegetables, until the flesh of the shrimp is an opaque color (about 5 to 6 minutes); remove from grill.', 'Serve grill mixture over cooked quinoa, and drizzle with vinaigrette.']",Salads,460,115 mg,16 g,51 g,7 g,6 g,29 g,200 mg,6 mg,96 mcg RAE,54 mg,0 mcg,216 mcg DFE
Grilled Lamb Salad,4 Servings,"['3 green onions (sliced)', '12 ounces boneless leg of lamb, cut into 1-inch cubes (if cubed lamb is not available at your meat market, ask the butcher to prepare it for you)', '4 bamboo skewers', '6 cups shredded Savoy, Napa, or green cabbage', '2 carrots (shredded)', '2 tablespoons black or white sesame seeds', '1 small jicama, julienned (optional)']","['Mix marinade/dressing ingredients; divide evenly.', 'Place lamb cubes in a glass dish; pour half of the marinade/dressing over the lamb.', 'Cover and refrigerate at least two hours.', 'In a large bowl, toss cabbage, carrots, jicama (optional), onions, and sesame seeds.', 'Remove lamb and discard marinade.', 'Soak bamboo skewers in water for 30 minutes; divide lamb among the 4 skewers.', 'On hot grill, cook the lamb skewers 5 to 6 minutes per side (or to desired degree of doneness).', 'Remove lamb from skewers, add to salad, and toss.', 'To serve, divide salad evenly on four plates. Drizzle with remaining dressing.']",Salads,260,70 mg,9 g,20 g,8 g,9 g,23 g,100 mg,3 mg,279 mcg RAE,54 mg,0 mcg,123 mcg DFE
Harvest Vegetable Salad,4 servings,"['2 cups romaine lettuce (washed)', '1 cup cilantro leaves (washed)', '1 cup parsnips (peeled)', '1 cup carrots (peeled)', '1 cup turnips (peeled)']","['Combine romaine lettuce and cilantro, and divide onto four plates.', 'Place parsnips, carrots, and turnips into 1 quart of boiling water. Return water to a simmer, cook vegetables for 2 minutes. Strain into a colander.', 'Mix ingredients for the dressing right before use.', 'Place hot vegetables on top of greens and top with homemade dressing.']",Salads,124,2 mg,6 g,16 g,3 g,7 g,2 g,77 mg,1 mg,351 mcg RAE,21 mg,0 mcg,55 mcg DFE
Hearty Vegetable Salad with Herb Dressing,8 servings,"['3 cups cauliflower florets (fresh or frozen, thawed)', '2 cups broccoli florets (fresh or frozen, thawed)', '1 can red kidney beans (15 1/2 ounce, drained)', '2 carrots, sliced diagonally (medium)', '1 cup olives, large pitted (sliced)', '2 green onion (sliced)', '1/4 cup red wine vinegar', '1/4 cup vegetable oil (or olive oil)', '1 tablespoon cilantro or parsley (chopped)', '1 clove garlic (minced)', '1 teaspoon sugar', '1/2 dried basil (1/2 teaspoon, optional)']","['Wash hands with soap and water.', 'In large bowl, combine all salad ingredients.', 'In a small jar with a tight fitting lid, combine all dressing ingredients and shake well.', 'Pour dressing over vegetables and stir to coat vegetables. Cover; refrigerate 1 to 4 hours to marinate, tossing occasionally.']",Salads,174,0 mg,9 g,19 g,6 g,3 g,6 g,56 mg,3 mg,138 mcg RAE,37 mg,0 mcg,109 mcg DFE
Herb Potato Salad,4 servings,"['1/4 tablespoon salt', '5 small potatoes (1 pound)', 'radish (1/2 sliced, optional)', '1/2 teaspoon basil (dried)', '1/4 teaspoon thyme (dried)', '1/4 teaspoon onion powder', '3 tablespoons yogurt, non-fat plain', '1 tablespoon mayonnaise, reduced calorie', '1 1/2 teaspoons prepared mustard', '1/2 teaspoon garlic (chopped)']","['Scrub potatoes and cut into cubes.', 'Place in medium saucepan and cover with water. Bring to a boil.', 'Cover, reduce heat and simmer 12 minutes or until potatoes are done. Drain.', 'Mix dressing ingredients.', 'Combine hot potatoes, dressing, radishes, basil, thyme, and onion powder. Serve hot or cold.']",Salads,182,1 mg,1 g,39 g,5 g,3 g,5 g,56 mg,2 mg,1 mcg RAE,42 mg,0 mcg,36 mcg DFE
Homemade Ranch Dressing,16 Servings,"['2 teaspoons dried, minced onions', '1/2 teaspoon salt', '1/8 teaspoon garlic powder', '1 tablespoon dried parsley', '1 cup Greek yogurt, plain, fat-free', '1 cup buttermilk']","['Collect and measure all ingredients before starting to prepare the recipe.', 'Add the dried onion, salt, garlic powder, and dried parsley to a bowl, and stir gently to combine.', 'Add the Greek yogurt and buttermilk, and stir until spices are evenly distributed.', 'Chill before serving.', 'Keep leftovers refrigerated, and eat within 1 week.']",Salads,20,2 mg,1 g,2 g,0 g,1 g,2 g,37 mg,0 mg,8 mcg RAE,0 mg,0 mcg,1 mcg DFE
Italian Pasta Salad,8 servings,"['4 cups pasta, cooked', '2 cups broccoli (blanched, pieces)', '1 cup carrot (cooked, slices)', '1/2 cup red pepper (strips)', '1/4 cup green onion (sliced)', '1/2 cup Italian salad dressing, light or reduced fat (can use 1/2 to 3/4 cup)']",['1. Mix all ingredients together and refrigerate for about 30 minutes before serving.\n '],Salads,135,0 mg,1 g,27 g,3 g,3 g,5 g,28 mg,1 mg,157 mcg RAE,33 mg,0 mcg,108 mcg DFE
Kale Salad with Yogurt Dressing,4 Servings,"['4 cups kale (1 bunch)', '2 tablespoons olive oil', '1 lemon (zested and juiced)', '1 lime (zested and juiced)', '1 cup Greek yogurt (plain, fat-free)', '1/2 cup cilantro (chopped or torn, stems included)', '1/2 cup pumpkin seeds, toasted (pepitas)', '1 jalapeño chile pepper (seeds removed and diced, optional)', 'salt and pepper (optional, to taste)']","['Wash your hands.', 'Wash and dry kale. Remove stems and tear into bite-size pieces.', 'Season kale with salt, pepper, 1Tablespoon of olive oil, lemon juice, and lime juice.', 'With your hands, massage kale until you can no longer feel resistance.', 'Season yogurt with salt and pepper, lemon and lime zest and remaining 1Tablespoon of oil. Mix in cilantro and jalapeno pepper, if desired.', 'With a spoon, mix massaged kale with yogurt dressing.', 'Toss pumpkin seeds over salad.']",Salads,304,1 mg,22 g,17 g,4 g,4 g,18 g,200 mg,4 mg,345 mcg RAE,104 mg,0 mcg,43 mcg DFE
Kale with Nuts and Raisins,5 Servings,"['1/4 cup nuts, chopped', '2 tablespoons vegetable oil', '2 cloves garlic, chopped', '1 cup kale, stems removed and chopped (1 bunch)', '1/2 cup raisins', 'salt (optional, to taste)']","['1. Heat oven to 350°F.\n2. On a baking sheet, toast nuts for 5 minutes.\n3. Heat oil in frying pan on medium heat.\n4. Add garlic and kale to frying pan and cook for 4 minutes.\n5. Add raisins and nuts and cook for 1 minute more.\n6. Add salt to taste (optional)']",Salads,160,0 mg,10 g,18 g,2 g,9 g,4 g,94 mg,1 mg,268 mcg RAE,65 mg,0 mcg,21 mcg DFE
Leaf Finger Salad,2 Servings,"['4 iceberg lettuce leaves (large)', '1 cucumber (sliced)', '1 beet (shredded)', '1 carrot, medium (shredded)', '6 tablespoons sunflower seeds', '2 teaspoons olive oil', '2 teaspoons balsamic vinegar']","['1. Lay lettuce leaves on a flat surface. Top each leaf with all ingredients: cucumbers, carrots, beets, and sunflower seeds.', '2. Drizzle each leaf with olive oil and balsamic vinegar.', '3. Slowly roll the leaf with all ingredients.']",Salads,135,0 mg,9 g,12 g,4 g,7 g,3 g,41 mg,1 mg,264 mcg RAE,8 mg,0 mcg,88 mcg DFE
Lentil Vegetable Salad,6 servings,"['1/2 cup lentils (washed)', '2 cups potatoes (1 can, about 15 ounces, sliced)', '1 cup peas (frozen)', '2 carrot (large, shredded)', '1 tablespoon parsley', '2 tablespoons red wine vinegar', '3 teaspoons mustard', '1/4 cup olive oil']","['1. Boil 1 cup water in a saucepan.', '2. Add the lentils. Cook for 20 minutes over low heat until tender, then drain.', '3. Cook the peas for 3 minutes in another saucepan. Then remove from heat.', '4. Rinse and drain the peas.', '5. Wash, peel, and shred the carrots.', '6. Put the cooked lentils, sliced potatoes, peas, and shredded carrots in a bowl.', '7. Put the parsley, vinegar, mustard, and olive oil in another bowl. Stir well.', '8. Pour the dressing over the lentil vegetable salad.']",Salads,201,0 mg,10 g,24 g,7 g,4 g,7 g,29 mg,3 mg,231 mcg RAE,9 mg,0 mcg,106 mcg DFE
Magical Fruit Salad,12 servings,"['1 can pineapple chunks (20 ounce)', '1/2 pound grapes, seedless, red or green', '2 bananas', '1 3/4 cups milk, non-fat or low-fat', '1 package pudding mix, instant, lemon or vanilla (3 1/2 ounce)']","['1. Drain off the juice. Put chunks in a large bowl.', '2. Rinse the grapes and drain. Add the grapes to the bowl.', '3. Peel the bananas and cut into bite-sized pieces. Add to the bowl.', '4. Pour the milk over the fruit. While slowly stirring the fruit mixture, sprinkle in the pudding mix.', '5. Let the mixture stand for 5 minutes and serve.', '6. Refrigerate leftovers within 2 hours.']",Salads,99,1 mg,0 g,24 g,1 g,21 g,2 g,54 mg,0 mg,24 mcg RAE,7 mg,0 mcg,8 mcg DFE
Main Dish Salad,12 servings,"['1/2 head of red cabbage', '1/2 head of romaine lettuce', '3 carrot (medium)', '1 cucumber', '1 green pepper', '2 broccoli stalks', '3 tomatoes (medium)', '3 cans kidney beans or garbanzo beans (16 ounce)', '6 ounces cheese, grated low-fat cheddar', '1/4 cup salad dressing, non-fat']","['Wash hands with soap and water.', 'Wash and drain all vegetables well.', 'Thickly slice red cabbage, tear lettuce into pieces, peel and grate (or slice) carrots and cucumber, cut broccoli into florets and tomato into wedges.', 'Combine all salad ingredients in a bowl.', 'Add salad dressing and toss together lightly just before serving.']",Salads,157,3 mg,2 g,26 g,9 g,6 g,12 g,166 mg,3 mg,275 mcg RAE,131 mg,0 mcg,178 mcg DFE
Mango Berry Rotini Salad,4 Servings,"['1 cup (4 oz) whole-wheat rotini pasta, uncooked', '1 ripe mango', '1 cup raspberries', '1 cup blueberries', '2 cups Fresh Baby Spinach', '1/2 cup reduced-fat feta cheese']","['In a small bowl, whisk vinaigrette ingredients; set aside.', 'Boil water and cook rotini according to package instructions. Drain cooked rotini and rinse in cool water.', 'While rotini is cooking, cut mango into chunks, removing peel and pit.', 'Place salad ingredients in a large bowl; drizzle with vinaigrette. Toss gently.']",Salads,430,5 mg,15 g,65 g,14 g,18 g,12 g,150 mg,2 mg,115 mcg RAE,42 mg,0 mcg,54 mcg DFE
Marinated Three-Bean Salad,4 servings,"['1 can cannellini (white) beans (15 ounce)', '1 can cut green beans (8 ounce)', '1 can red kidney beans (8 ounce)', '1 onion (medium, chopped)', '1/2 cup celery (chopped)', '8 ounces Italian salad dressing (fat-free)']","['1. Wash hands with soap and water.', '2. Drain the canned beans.', '3. Peel and chop the onion.', '4. In a large bowl, combine the cannellini beans, green beans, kidney beans, onion, and celery.', '5. Pour the Italian dressing over the vegetables and toss lightly.', '6. Cover the bowl and marinate in the refrigerator for at least one hour. The salad can be left in the refrigerator over night.', '7. Drain before serving.']",Salads,253,1 mg,1 g,46 g,15 g,7 g,16 g,97 mg,6 mg,24 mcg RAE,21 mg,0 mcg,225 mcg DFE
Mediterranean Chicken and White Bean Salad,4 Servings,"['1 cup skinless cooked chicken (diced into 1/2 inch pieces)', '1 can 15.5 ounce low-sodium white beans (drained and rinsed with cold water)', '1 cucumber (peeled and diced into 1/2 inch pieces)', '1/4 red or white onion (peeled and chopped into 1/2 inch pieces)', '2 tablespoons vegetable oil', '1/4 cup lemon juice', '1 tablespoon dried basil or parsley leaves', '1/4 teaspoon salt', '1/4 teaspoon black pepper']","['Put everything in the bowl and gently toss.', 'Serve right away, or cover and refrigerate for up to 2 days. ']",Salads,297,32 mg,11 g,31 g,8 g,2 g,20 g,138 mg,6 mg,9 mcg RAE,9 mg,0 mcg,105 mcg DFE
Mixed Fruit Salad,6 Servings,"['1 can mandarin oranges, drained', '1 can fruit cocktail, drained', '1 can pineapple chunks, drained', '2 apples (chopped)', '1 banana (sliced)']","['Wash hands with soap and water.', 'Mix all ingredients together.', 'Cover and chill until ready to serve.', 'Refrigerate leftovers.']",Salads,157,0 mg,0 g,41 g,4 g,36 g,1 g,23 mg,1 mg,34 mcg RAE,22 mg,0 mcg,13 mcg DFE
Oprah's Outtasight Salad,4 servings,"['2 cups salad greens (of your choice)', '1 cup vegetables (tomatoes, cucumbers, carrots, green beans) (chopped)', '1 cup pineapple chunks, drained (canned in juice, or fresh orange segments)']","['Wash hands with soap and water.', 'Put mixed salad greens on a large platter or in a salad bowl.', 'In a large bowl, mix chopped vegetables and pineapple or orange segments.', 'Add dressing and stir.', 'Spoon mixture over salad greens.', 'Top with raisins and nuts. Serve.']",Salads,106,0 mg,2 g,20 g,2 g,17 g,3 g,56 mg,1 mg,98 mcg RAE,17 mg,0 mcg,44 mcg DFE
Pasta Primavera Salad,6 Servings,"['12 ounces pasta (any shape)', '1 package frozen mixed vegetables', '1 package dry vegetable soup mix', '1 cup low-fat salad dressing, unsalted ((mayonnaise type))', '1/2 cup cheese, reduced-fat (shredded)', '3 hard boiled eggs (sliced)']","['1. Cook pasta according to package directions. Rinse in cold water to stop cooking and prevent sticking. Drain.\n2. Cook vegetables until just tender. Drain and cool.\n3. Combine cold pasta, vegetables, envelope of soup mix and salad dressing.\n4. Top with sliced eggs and cheese.\n5. Refrigerate until time to serve.']",Salads,365,88 mg,6 g,61 g,5 g,8 g,16 g,120 mg,3 mg,153 mcg RAE,4 mg,1 mcg,213 mcg DFE
Pasta Salad,12 servings,"['3 cups pasta, uncooked', '1/2 cup celery (chopped)', '1 bell pepper (medium, chopped)', '1/2 cup carrot (diced)', '1/2 cup broccoli (chopped)', '1/3 cup mayonnaise', '1 1/2 tablespoons garlic powder', '1/4 teaspoon black pepper']","['1. Cook pasta according to package directions.', '2. Drain and place in bowl or pan.', '3. Add the rest of the ingredients and mix well.', '4. Cool in refrigerator before serving.']",Salads,143,3 mg,5 g,20 g,2 g,1 g,4 g,12 mg,1 mg,49 mcg RAE,12 mg,0 mcg,75 mcg DFE
